cases_per_mil,country,deaths,population,serious,test_per_mil,tests,total
497,Bulgaria,181 ,"6,950,101",13,"15,586",26,"3,453"
111,Venezuela,27 ,"28,438,678",5,"38,031",0.9,"3,150"
302,Greece,185 ,"10,424,732",12,"24,915",18,"3,148"
957,Bosnia and Herzegovina,168 ,"3,281,478",4,"24,099",51,"3,141"
45,Thailand,58  ,"69,793,557",1,"6,708",0.8,"3,135"
167,Somalia,88 ,"15,870,989",2,,6,"2,658"
393,Kyrgyzstan,30 ,"6,519,466",12,"23,102",5,"2,562"
499,CAR,14 ,"4,826,038",2,"3,921",3,"2,410"
"8,561",Mayotte,29 ,"272,499",13,"32,294",106,"2,333"
201,Cuba,84 ,"11,326,859",5,"12,257",7,"2,280"
550,Croatia,107 ,"4,106,085",,"17,221",26,"2,258"
"3,877",Maldives,8 ,"540,120",9,"65,787",15,"2,094"
443,Mauritania,93 ,"4,643,639",8,"2,981",20,"2,057"
"1,490",Estonia,69 ,"1,326,503",,"74,632",52,"1,977"
90,Sri Lanka,11 ,"21,409,881",1,"4,204",0.5,"1,924"
93,Mali,107 ,"20,221,292",,488,5,"1,890"
275,Nicaragua,64 ,"6,621,283",,,10,"1,823"
"5,320",Iceland,10 ,"341,157",,"190,824",29,"1,815"
353,Costa Rica,12 ,"5,092,255",2,"6,441",2,"1,796"
653,Lithuania,76 ,"2,723,374",16,"137,907",28,"1,778"
159,South Sudan,30 ,"11,188,290",2,300,3,"1,776"
598,Albania,38 ,"2,877,906",9,"6,694",13,"1,722"
"1,188",Equatorial Guinea,32 ,"1,400,545",,"11,424",23,"1,664"
286,Slovakia,28 ,"5,459,548",,"36,410",5,"1,561"
"5,209",French Guiana,5 ,"298,302",13,929,17,"1,554"
301,New Zealand,22 ,,,"63,224",4,"1,506"
723,Slovenia,109 ,"2,078,928",1,"43,541",52,"1,503"
759,Guinea-Bissau,15 ,"1,965,778",5,763,8,"1,492"
218,Lebanon,32 ,"6,826,459",7,"16,071",5,"1,489"
77,Zambia,11 ,"18,358,109",1,"2,465",0.6,"1,405"
50,Madagascar,12 ,"27,656,188",8,593,0.4,"1,378"
183,Paraguay,13 ,"7,128,884",2,"7,011",2,"1,303"
154,Sierra Leone,51 ,"7,969,522",,,6,"1,225"
95,Tunisia,50 ,"11,813,579",,"5,326",4,"1,128"
150,Hong Kong,4 ,"7,494,577",3,"36,732",0.5,"1,121"
585,Latvia,30 ,"1,886,823",1,"69,771",16,"1,104"
42,Niger,66 ,"24,158,588",,261,3,"1,016"
816,Cyprus,18 ,"1,207,015",4,"118,401",15,985
96,Jordan,9 ,"10,199,034",3,"28,691",0.9,981
43,Burkina Faso,53 ,"20,874,685",,,3,895
223,Georgia,14 ,"3,989,431",6,"19,591",4,888
30,Yemen,214 ,"29,795,150",,4,7,885
160,Congo,27 ,"5,511,524",,,5,883
"11,053",Andorra,52 ,"77,261",8,"48,537",673,854
52,Chad,74 ,"16,402,021",,,5,853
244,Uruguay,24 ,"3,473,283",3,"15,687",7,849
"1,423",Cabo Verde,7 ,"555,740",,"2,352",13,791
16,Uganda, ,"45,665,591",,"3,354",,732
,,13 ,,4,,,712
"20,514",San Marino,42 ,"33,928",,"160,133","1,238",696
"3,064",Sao Tome and Principe,12 ,"218,976",,"6,686",55,671
"1,499",Malta,9 ,"441,500",1,"192,444",20,662
20,Mozambique,4 ,"31,211,470",,649,0.1,638
49,Rwanda,2 ,"12,936,672",,"7,483",0.2,636
210,Jamaica,10 ,"2,960,681",2,"5,724",3,621
47,Benin,9 ,"12,107,579",2,"3,851",0.7,572
"3,268",Channel Islands,48 ,"173,799",,"59,005",276,568
30,Malawi,6 ,"19,105,730",4,446,0.3,564
65,Togo,13 ,"8,269,473",2,"3,094",2,537
448,Eswatini,4 ,"1,159,675",5,"5,649",3,520
101,Palestine,3 ,"5,095,772",,"8,807",0.6,514
101,Liberia,33 ,"5,052,009",,,7,509
9,Tanzania,21 ,"59,648,351",7,,0.4,509
553,Réunion,1 ,"895,063",2,"19,217",1,495
70,Libya,10 ,"6,867,331",,"2,043",1,484
19,Taiwan,7 ,"23,815,210",,"3,137",0.3,445
26,Zimbabwe,4 ,"14,853,642",,"3,562",0.3,391
265,Mauritius,10 ,"1,271,692",,"108,351",8,337
"3,952",Isle of Man,24 ,"85,016",,"66,105",282,336
3,Vietnam, ,"97,303,556",1,"2,826",,335
519,Montenegro,9 ,"628,063",,"20,995",14,326
5,Myanmar,6 ,"54,395,646",,"1,019",0.1,262
402,Suriname,6 ,"586,422",2,"1,987",10,236
538,Martinique,14 ,"375,275",,,37,202
227,Comoros,3 ,"868,739",,,3,197
60,Mongolia, ,"3,275,982",8,"5,765",,197
"2,938",Cayman Islands,1 ,"65,690",,"277,363",15,193
"3,828",Faeroe Islands, ,"48,856",,"228,467",,187
10,Syria,6 ,"17,480,189",,,0.3,177
"5,224",Gibraltar, ,"33,691",,"309,519",,176
427,Guadeloupe,14 ,"400,122",,"14,223",35,171
217,Guyana,12 ,"786,408",1,"2,537",15,171
5,Angola,6 ,"32,813,171",1,305,0.2,148
"2,312",Bermuda,9 ,"62,286",2,"148,444",144,144
322,Brunei ,3 ,"437,310",1,"58,540",7,141
8,Cambodia,  ,"16,709,126",1,"1,707",,128
88,Trinidad and Tobago,8 ,"1,399,320",,"2,938",6,123
34,Eritrea, ,"3,544,334",,,,121
265,Bahamas,11 ,"393,093",1,"5,752",28,104
9,Burundi,1 ,"11,872,654",,32,0.08,104
946,Aruba,3 ,"106,749",,"20,918",28,101
"2,524",Monaco,4 ,"39,231",,"412,939",102,99
338,Barbados,7 ,"287,362",1,"24,220",24,97
"2,151",Liechtenstein,1 ,"38,124",,"23,607",26,82
"1,797",Sint Maarten,15 ,"42,856",,"11,130",350,77
87,Bhutan, ,"771,259",,"28,253",,67
26,Botswana,1 ,"2,349,447",1,"11,407",0.4,60
214,French Polynesia, ,"280,846",,"16,301",,60
69,Macao, ,"648,960",,,,45
"1,087",Saint Martin,3 ,"38,637",1,"17,729",78,42
14,Gambia,1 ,"2,413,256",,816,0.4,34
13,Namibia, ,"2,538,844",1,"2,331",,34
261,St. Vincent Grenadines, ,"110,927",,"6,590",,29
266,Antigua and Barbuda,3 ,"97,897",1,"4,995",31,26
18,Timor-Leste, ,"1,317,308",,"1,190",,24
140,Curaçao,1 ,"164,068",,"6,583",6,23
204,Grenada, ,"112,503",1,"36,710",,23
55,Belize,2  ,"397,304",,"4,926",5,22
74,New Caledonia, ,"285,387",,"27,289",,21
3,Laos, ,"7,271,033",,"1,547",,19
103,Saint Lucia, ,"183,595",,"7,386",,19
250,Dominica, ,"71,979",,"7,419",,18
20,Fiji, ,"896,191",,"2,713",,18
282,Saint Kitts and Nevis, ,"53,184",,"7,841",,15
"3,741",Falkland Islands, ,"3,475",,"193,094",,13
229,Greenland, ,"56,766",,"47,969",,13
310,Turks and Caicos,1 ,"38,695",,"6,332",26,12
"14,981",Vatican City, ,801,,,,12
"2,204",Montserrat,1 ,"4,992",,"12,220",200,11
112,Seychelles, ,"98,324",,,,11
,,2 ,,,,,9
15,Western Sahara,1 ,"596,630",,,2,9
265,British Virgin Islands,1 ,"30,223",,"7,015",33,8
0.9,Papua New Guinea, ,"8,939,356",,591,,8
267,Caribbean Netherlands, ,"26,213",,"16,175",,7
608,St. Barth, ,"9,876",,"15,391",,6
2,Lesotho, ,"2,141,579",,707,,4
200,Anguilla, ,"14,998",,"6,201",,3
173,Saint Pierre Miquelon, ,"5,795",,,,1
58,China,"4,634 ",,5,,3,"83,265"
